date,mom_20,mom_60,reversal_5,volatility_20,dollar_volume_20,volume_anom,ma_dist_20,rsi_14,overnight,turnover_20,hl_spread_5,size_proxy,intraday_momentum,max_ret_5d
2025-02-20,7.4132264142922075,-0.38169735108732794,135.95816736654743,-0.0924939700429992,1.3247633121583218,-0.7172929286148193,25.61296319838271,1.4718073952849848,71.81584909372037,0.5374045076773051,-0.29334877245082214,2.232626297815376,4916.68392927705,82.54576214443237
2025-02-21,7.286614169921766,-0.3989835706881184,133.89705785858467,-0.10423917868874888,1.3512913477502804,-0.7093891350159165,25.212459653848224,1.4346086956949162,70.14543570061434,0.5137022555147499,-0.3039833011680261,2.2695140209807647,4866.721667771422,81.28846608084658
2025-02-24,7.457704795240151,-0.3953837202104643,137.63383760916545,-0.07942573240922746,1.401703885998061,-0.7111297790484303,25.753658510383396,1.502049725314686,70.77738608082164,0.4804070094530175,-0.28470296142193663,2.3396135859674914,4774.489193652592,82.98744528146689
2025-02-25,7.3186467546386265,-0.39697515446102194,135.3544781037533,-0.0881801108683552,1.328252649762049,-0.7121511674581874,25.313786060180366,1.534429676126864,69.8484883825829,0.4604411991495416,-0.2934118725964078,2.2374782861622218,4679.087407467539,81.96487820614239
2025-02-26,7.41303570468321,-0.39568207412582945,136.8658413671043,-0.08150125221995452,1.3069648286959197,-0.7142595900617837,25.61235994018474,1.6935051811225001,70.32214397456103,0.4743257314822569,-0.2490623038356683,2.2078771780228865,4773.753106842879,82.88446713943539
2025-02-27,7.21053188982447,-0.3932648266546629,131.01809071000812,-0.1036097403920535,1.3249284528929381,-0.7177920591268203,24.97179396620683,1.6286718565455631,69.67178953485833,0.43383404486741606,-0.2671375567565445,2.2206483140917435,4885.880381367565,79.32640342350291
2025-02-28,7.196607595976229,-0.38538642134451484,129.39459140240672,-0.10512993439957574,1.2690797260121314,-0.7266429855187955,24.92774823374952,1.5820922953176582,68.80269954302665,0.4381914460637304,-0.2778965802138421,2.1596669881563804,4807.5734899852505,79.97915144367477
2025-03-03,7.057518416934242,-0.4095850873504726,133.94828825690618,-0.12031508768600518,1.2803181281984082,-0.7145885960424294,25.39323743004664,1.6438007497012386,65.97245195028604,0.42295859290965887,-0.26493242546005114,2.175316331800207,5004.089020353902,82.80714072791659
2025-03-04,7.566657288943846,-0.4120488075790637,128.29797841075867,-0.06472951396418591,1.209528453516762,-0.7223303674293307,25.955884877387746,1.7001609346554525,63.95216727941771,0.42130987545901544,-0.24926235483933645,2.076742537486233,5117.7198619337705,79.2981202093982
2025-03-05,7.450277684850322,-0.39200576693847156,127.63874513833858,-0.07743533435759453,1.2191583148757998,-0.7237460822207076,25.63735998880896,1.6065291406494095,65.32208595318468,0.41947082701092886,-0.2616536072517941,2.090152006835355,5199.581677415977,78.92160944579288
2025-03-06,7.377456330185236,-0.3912030074124666,130.492238133966,-0.08538565400669518,1.2431489018800246,-0.7276941618074128,25.708784456289777,1.6135181949671922,64.75054684838297,0.40402240315632065,-0.25967383155553225,2.1235586187383064,5372.927689953597,78.11471369810153
2025-03-07,7.688469407948892,-0.38731737884077566,132.17649664033374,-0.06135492689210287,1.2628094501607516,-0.7340674173854317,25.11155510350388,1.621017407169799,64.17426241193141,0.3908028443736602,-0.25822429666456426,2.1174507743487276,5349.137000774227,80.03868477229543
2025-03-10,7.76980336209318,-0.38659113774414156,133.37065691001703,-0.05305348782788055,1.2287082408423249,-0.7371209862840482,25.818391248299545,1.6455531107093768,63.19206695374757,0.4060801555768714,-0.25128043253755994,2.0346737615898456,5487.538338859764,79.90712740885917
2025-03-11,7.810412434001238,-0.38469059019902463,133.0170556160649,-0.04220512924795705,1.2380433014538883,-0.7397356532202616,25.747817671707868,1.6176681660534138,62.45667318931694,0.3906629351045474,-0.25719366489382534,2.009215096418311,5532.293542340838,81.16889330029511
2025-03-12,7.698183512383999,-0.38191403472972973,134.28548574390928,-0.05615835641660172,1.2074126969084342,-0.7386807576308168,26.000977522391942,1.5790927801775307,62.392396539394866,0.39230585405292895,-0.26726251827120073,1.968029978350791,5563.87949434396,79.95800767042094
2025-03-13,7.53252943188382,-0.3726421398233315,137.71037022302133,-0.06360423799175963,1.1405170717451334,-0.7399439659967165,26.89815633057597,1.6647899511335371,63.91274862691661,0.39045020882819625,-0.28121726567460814,1.8968471422419135,5625.959984992762,81.58833833521277
2025-03-14,7.34600009735691,-0.35454222009612,136.32372865950114,-0.05652194226285423,1.2437294300219097,-0.7427754035669007,26.619267715028606,1.5013328107565145,61.48951513062495,0.37395349384817944,-0.2943298644357293,2.0075697239714665,5523.308564744968,80.08169704957622
2025-03-17,7.3888537905064435,-0.33236083191693755,139.77343969869807,-0.026837851431350868,1.2349711769088012,-0.7482330861258426,26.761082669481997,1.514176250426611,61.68032873437084,0.3611094834834967,-0.29637839066969784,2.0112726527357627,5544.872346918328,79.84632080913502
2025-03-18,7.579207383951779,-0.3262785309396671,141.05590853933174,-0.017972186607825624,1.2073108748848442,-0.7505474710303667,27.47471141652882,1.5681774218080027,61.88169061143731,0.35700596557050135,-0.3009367981596117,1.9740047398822482,5521.926957284237,79.98015908400065
2025-03-19,7.153721019458898,-0.3573059213612897,134.51370328335904,-0.06319823590310614,1.2574510927191147,-0.7531120625403138,26.06250619774996,1.506130913584229,63.74985515428496,0.34426929391869865,-0.2984611837529426,2.0993407160935016,5480.774368275033,76.26222582211193
2025-03-20,7.155939715618834,-0.35782993209040925,134.40321427027584,-0.06396204280869433,1.2184309598986518,-0.7511048378981741,26.069870133606475,1.5494494870979238,64.3088942503905,0.3495610713466104,-0.2928015242672757,2.142543759839853,5451.690252447264,74.6878032542276
2025-03-21,7.373614242128557,-0.3563965551894134,126.31213973845753,-0.06187272838352831,1.169785425340112,-0.7501399749922648,26.558516952259172,1.6174919480913212,62.26539012633525,0.378390091344609,-0.2912229985617184,2.075413447014061,5379.504750238815,70.1650475679618
2025-03-24,7.331831762919332,-0.36220421801514957,127.73635391156586,-0.07033807599020525,1.1837915916999568,-0.7525130273548779,26.642361928864947,1.6263095882696104,61.595281093008786,0.38073678406688005,-0.29761876582520985,2.0952655263308118,5436.495228441685,70.96115601122916
2025-03-25,6.929336641997735,-0.37526947595128857,124.85136799778137,-0.06854846282559435,1.2943594440393422,-0.7530879441508301,25.307011417272438,1.4994375119498953,58.571420800392374,0.3953638609789789,-0.2962666714016443,2.2519823407774333,5426.027968471139,73.73312175624991
2025-03-26,7.053327874550801,-0.3621928052399237,123.4986604970597,-0.04905160047238777,1.2514924690468474,-0.7500751781489281,25.356723424560336,1.5385212779429551,58.6445808423893,0.4095878166801348,-0.281536337837895,2.235929589412797,5481.292724904163,75.76858934118748
2025-03-27,7.0632439783848024,-0.3788153450250563,124.01212366498459,-0.07383523059544095,1.2683752874500835,-0.7492770717860112,25.37306188061345,1.5304148002857123,58.20812373300539,0.4052363549306235,-0.28973067978293243,2.2601942104918282,5444.573780043711,77.3246395397033
2025-03-28,7.141088399784261,-0.3800216329430851,124.7183749995097,-0.07563376403069089,1.2603441476362867,-0.750881468605421,25.541825291685466,1.5466071345340633,58.017652338052756,0.4073237742189435,-0.2805886528296454,2.248651554534743,5428.068918442254,77.14334323098089
2025-03-31,7.176981858323908,-0.38302116788675034,126.90112423731476,-0.11762883744294939,1.2679184940615928,-0.7552067176752308,26.00265012278599,1.5908218707006325,60.698895492673955,0.40072688351706787,-0.26767280630845114,2.273860755059043,5522.329570823158,77.82163631066547
2025-04-01,7.173701788712776,-0.38902668353520786,123.3546662037103,-0.09351629133026984,1.2748855422131822,-0.7505334745199078,25.487154155480496,1.5189832446387066,61.85201298540177,0.42730845894950686,-0.24736674821254678,2.2330191660709193,5627.773077549778,79.97559421508066
2025-04-02,7.209550367633227,-0.39036680991997696,122.35596749666658,-0.09832857666864525,1.28972139398694,-0.7516275957220091,25.603322675040644,1.5300311115635101,61.94012233346962,0.424398756935255,-0.2507665162579006,2.2375513870370085,5656.915590734072,79.5457159270535
2025-04-03,6.962101459896705,-0.4015531190948073,123.49543255629675,-0.08769575606364954,1.3706527395310077,-0.7491996943393102,25.849063171211572,1.5407515928095301,62.52151350329506,0.4582647097356838,-0.2739436222870786,2.3519842567778686,5577.702699907337,77.06452110278146
2025-04-07,7.3656107000577755,-0.3282733896478587,136.9522909633855,-0.07459628399478979,1.2176071177454673,-0.7466842635116111,27.20973976316657,1.5414035604185594,66.37779994027059,0.6008669842304808,-0.31073924198128433,2.159538643985531,5860.424302848745,71.20445023623003
2025-04-08,7.447618733387332,-0.3514907239358156,131.33137586191683,-0.0688757259172662,1.286758935119464,-0.7472890454681834,27.48627967897928,1.5663169248290285,69.12313233412348,0.6031679450421688,-0.2678890454991595,2.1859703096776393,5677.6470472660785,71.103872022697
2025-04-09,7.470703477689053,-0.31855470365622607,131.69299681940555,-0.02413093574635372,1.235267436901308,-0.739309058601695,27.564123921629285,1.5733298798257676,69.31475729148231,0.6108868342461777,-0.2853073504897171,2.0712731596292593,5754.214841317323,70.09744410108972
2025-04-10,7.370933500805435,-0.33300061961578753,130.13010688232302,-0.03332430277842946,1.2380947788955297,-0.7422655173069881,27.227688820239187,1.543020583401879,70.14294136474446,0.5540529224966544,-0.2778701652870209,2.096366938545379,5793.958066463693,71.06269904208415
2025-04-11,7.49499937667885,-0.35918582734515847,132.0419852122998,-0.07481396615300107,1.2338320884637937,-0.7451416565071998,27.64605230825736,1.580710773631382,70.01835788702611,0.579432443251912,-0.2834430493459489,2.0904695771616955,5631.126071982135,68.46431857756319
2025-04-14,7.458070610257925,-0.36191269616496635,130.6013146309304,-0.06856270916754836,1.2063275456771456,-0.746840276586875,27.880669367285996,1.601847325551256,70.49821165653304,0.5660560948108209,-0.2892373104024507,2.052417499230299,5677.254342672545,67.90261249742117
2025-04-15,7.680629870152911,-0.37146093270643643,128.51874542878306,-0.09644638513636561,1.231349287473372,-0.7500144327648952,28.640613413137245,1.6703103642059753,68.35782820205603,0.5903707350662846,-0.2865474808180133,2.0870346632455283,5769.021155357182,68.16336941144199
2025-04-16,7.541524969530576,-0.3644138017218346,132.56763231631336,-0.06820038590829591,1.2403289987042339,-0.7484432318741742,28.04634612494613,1.6275193152383358,67.30107406665371,0.5704421841534542,-0.2811440197589915,2.0762485971653186,5681.107593538045,70.32548624310463
2025-04-17,7.506803235556534,-0.3580442628187327,130.9715254396664,-0.07342154158123537,1.196217206083694,-0.7468153876933251,28.500190104172933,1.6685738360511584,66.50341239249121,0.5613414272658206,-0.28517198770671426,2.0815704376142623,5592.325675511138,69.9258279244152
2025-04-18,7.72061692297992,-0.363568145260441,129.91951208977625,-0.0786350756848857,1.2579584816085276,-0.7518042359206611,29.24166069555795,1.735646929932392,67.83352592579513,0.5936345379704773,-0.27761531271158235,2.0952880711699122,5547.73838093136,71.24166904818955
